test,tipo,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
85,S,3.350568534887799e-05,3.314822289546271e-06,1.3001158549741376e-07,4.0978193283081055e-08,1701.138305108926,23611274.407809366
86,D,0.0,0.0,0.0,0.0,-962.0,989.0
86,H,1.5016127230538245e-11,1.3283596445035073e-11,2.099653784171096e-12,4.547473508864641e-13,-943.9999999999995,979.0000000000005
86,S,0.01037978247736826,0.001441148705213724,2.2510524644303587e-07,7.078051567077637e-08,19.73100930068895,24963514.795070503
87,D,0.0,0.0,0.0,0.0,-986.0,643.0
87,H,2.2296919865993914e-10,9.400680234250558e-11,2.6574298317427747e-12,4.547473508864641e-13,-1000.0000000000001,985.0000000000005
87,S,8.949864266583063e-06,1.5274927136488259e-06,2.1161849872441962e-07,4.842877388000488e-08,4270.123942854102,23023846.228505895
88,D,0.0,0.0,0.0,0.0,-908.0,977.0
88,H,1.2137846283621911e-11,1.0017986440402638e-11,2.4016344468691386e-12,3.410605131648481e-13,-972.0,837.0000000000002
88,S,0.0003626582971012482,5.044340454674057e-05,1.448368323053728e-07,2.2351741790771484e-08,252.61363085539944,23005714.59422004
89,D,0.0,0.0,0.0,0.0,-960.0,813.0
89,H,4.253512986274188e-09,1.3514906971323626e-09,1.787014980436652e-12,4.547473508864641e-13,-972.0000000000001,929.0000000000001
89,S,4.300525971956404e-05,4.904560825025328e-06,1.3271915122459177e-07,3.725290298461914e-08,1289.803554270488,20075472.598985422
90,D,0.0,0.0,0.0,0.0,-934.0,847.0
90,H,5.643707723379521e-12,5.903055821931957e-12,2.319922032256727e-12,5.684341886080801e-13,-580.0000000000001,892.9999999999998
90,S,0.0005184125850075105,5.446430017741477e-05,1.8103668253388605e-07,2.60770320892334e-08,262.2336862238618,23110738.01527441
91,D,0.0,0.0,0.0,0.0,-816.0,727.0
91,H,6.1879390500507725e-12,6.546818642760854e-12,1.9113599591946695e-12,3.410605131648481e-13,-950.0000000000001,867.0000000000003
91,S,0.0001267759582681549,1.775828400241153e-05,1.3154522093827836e-07,4.842877388000488e-08,1089.811362086048,23439082.137748487
92,D,0.0,0.0,0.0,0.0,-994.0,949.0
92,H,7.018607917075315e-12,6.334599511603756e-12,1.5170087408478139e-12,3.410605131648481e-13,-863.9999999999998,931.0
92,S,0.0002836362249919455,3.498549120894978e-05,1.9722557453860645e-07,7.82310962677002e-08,477.988128463996,22506628.315077994
93,D,0.0,0.0,0.0,0.0,-860.0,803.0
93,H,4.488853733164433e-12,4.6100900874535e-12,1.5631940186722204e-12,3.410605131648481e-13,-599.9999999999999,851.0000000000001
93,S,4.832663402964954e-05,7.836144504835829e-06,1.6704871086403728e-07,5.21540641784668e-08,1038.441597408155,20729868.1836347
94,D,0.0,0.0,0.0,0.0,-920.0,931.0
94,H,1.1805556532351602e-11,1.0471401523659551e-11,2.3732127374387346e-12,5.684341886080801e-13,-976.0,806.9999999999994
94,S,0.03684560964284446,0.00487204919076345,1.2577753061293606e-07,2.60770320892334e-08,5.19559218902376,24849923.80151338
95,D,0.0,0.0,0.0,0.0,-936.0,953.0
95,H,1.9425192211708353e-08,6.287940026300509e-09,1.865174681370263e-12,3.410605131648481e-13,-866.0000000000003,871.0000000000001
95,S,0.0003287113446033274,4.5574678205539954e-05,1.658113433222752e-07,4.0978193283081055e-08,435.9378285097624,24887179.183130536
96,D,0.0,0.0,0.0,0.0,-754.0,991.0
96,H,1.298161578233703e-11,1.0048184506672442e-11,2.1458390619955026e-12,3.410605131648481e-13,-957.9999999999998,993.0000000000001
96,S,6.070989854833897e-06,8.461934157821815e-07,1.7084676073864102e-07,4.470348358154297e-08,12093.157495131349,19609578.014347713
97,D,0.0,0.0,0.0,0.0,-948.0,987.0
97,H,3.764209388634754e-09,1.1605526539781863e-09,2.327027459614328e-12,3.410605131648481e-13,-930.0000000000001,867.0000000000003
97,S,1.000204065348953e-06,3.9318274502875283e-07,1.626467565074563e-07,5.21540641784668e-08,65803.51708798332,26852741.839487933
98,D,0.0,0.0,0.0,0.0,-972.0,831.0
98,H,5.828234075910821e-11,2.0347612483817556e-11,2.312816604899126e-12,4.547473508864641e-13,-972.0000000000005,993.0000000000003
98,S,4.631782388742067e-06,8.295401130453683e-07,1.1733027349691838e-07,2.60770320892334e-08,11719.684994721127,18878770.802526463
99,D,0.0,0.0,0.0,0.0,-948.0,989.0
99,H,7.972289495228324e-12,6.624700787938309e-12,1.8758328224066645e-12,3.410605131648481e-13,-971.9999999999999,859.0
99,S,3.464722626489447e-05,3.838928080313053e-06,1.6342482922482304e-07,2.9802322387695312e-08,2429.52934315304,21646882.020560246
